"term","x","f"
"cpoe",-5.7,-0.0330878852236297
"cpoe",-5.6,-0.03253737534319
"cpoe",-5.5,-0.0319868654627503
"cpoe",-5.4,-0.0314363555823108
"cpoe",-5.3,-0.0308858457018714
"cpoe",-5.2,-0.0303353358214321
"cpoe",-5.1,-0.0297848259409929
"cpoe",-5,-0.0292343160605537
"cpoe",-4.9,-0.0286838061801145
"cpoe",-4.8,-0.0281332962996752
"cpoe",-4.7,-0.0275827864192359
"cpoe",-4.6,-0.0270322765387966
"cpoe",-4.5,-0.026481766658357
"cpoe",-4.4,-0.0259312567779172
"cpoe",-4.3,-0.0253807468974772
"cpoe",-4.2,-0.0248302370170369
"cpoe",-4.1,-0.0242797271365963
"cpoe",-4,-0.0237292172561553
"cpoe",-3.9,-0.0231787073757138
"cpoe",-3.8,-0.0226281974952718
"cpoe",-3.7,-0.0220776876148293
"cpoe",-3.6,-0.0215271777343862
"cpoe",-3.5,-0.0209766678539424
"cpoe",-3.4,-0.020426157973498
"cpoe",-3.3,-0.0198756480930528
"cpoe",-3.2,-0.0193251382126068
"cpoe",-3.1,-0.0187746283321601
"cpoe",-3,-0.0182241184517124
"cpoe",-2.9,-0.0176736085712639
"cpoe",-2.8,-0.0171230986908145
"cpoe",-2.7,-0.0165725888103642
"cpoe",-2.6,-0.016022078929913
"cpoe",-2.5,-0.0154715690494607
"cpoe",-2.4,-0.0149210591690074
"cpoe",-2.3,-0.0143705492885531
"cpoe",-2.2,-0.0138200394080978
"cpoe",-2.1,-0.0132695295276415
"cpoe",-2,-0.0127190196471842
"cpoe",-1.9,-0.0121685097667258
"cpoe",-1.8,-0.0116179998862664
"cpoe",-1.7,-0.011067490005806
"cpoe",-1.59999999999999,-0.0105169801253445
"cpoe",-1.5,-0.0099664702448822
"cpoe",-1.4,-0.00941596036441886
"cpoe",-1.3,-0.00886545048395458
"cpoe",-1.2,-0.00831494060348936
"cpoe",-1.09999999999999,-0.00776443072302324
"cpoe",-1,-0.00721392084255625
"cpoe",-0.899999999999999,-0.00666341096208833
"cpoe",-0.799999999999997,-0.00611290108161952
"cpoe",-0.699999999999996,-0.00556239120114983
"cpoe",-0.599999999999994,-0.00501188132067926
"cpoe",-0.5,-0.00446137144020784
"cpoe",-0.399999999999999,-0.00391086155973549
"cpoe",-0.299999999999997,-0.00336035167926224
"cpoe",-0.199999999999996,-0.00280984179878807
"cpoe",-0.0999999999999943,-0.00225933191831297
"cpoe",0,-0.00170882203783695
"cpoe",0.100000000000001,-0.0011583121573599
"cpoe",0.200000000000003,-0.000607802276881847
"cpoe",0.300000000000004,-5.72923964027405e-05
"cpoe",0.400000000000006,0.000493217484077449
"cpoe",0.5,0.00104372736455872
"cpoe",0.600000000000001,0.00159423724504118
"cpoe",0.700000000000003,0.00214474712552482
"cpoe",0.800000000000004,0.00269525700600969
"cpoe",0.900000000000006,0.00324576688649579
"cpoe",1,0.00379627676698313
"cpoe",1.1,0.00434678664747177
"cpoe",1.2,0.0048972965279617
"cpoe",1.3,0.00544780640845291
"cpoe",1.40000000000001,0.00599831628894539
"cpoe",1.5,0.00654882616943909
"cpoe",1.6,0.00709933604993407
"cpoe",1.7,0.00764984593043027
"cpoe",1.8,0.00820035581092765
"cpoe",1.90000000000001,0.00875086569142617
"cpoe",2,0.00930137557192575
"cpoe",2.1,0.00985188545242641
"cpoe",2.2,0.010402395332928
"cpoe",2.3,0.0109529052134306
"cpoe",2.40000000000001,0.011503415093934
"cpoe",2.5,0.0120539249744381
"cpoe",2.6,0.012604434854943
"cpoe",2.7,0.0131549447354484
"cpoe",2.8,0.0137054546159544
"cpoe",2.90000000000001,0.0142559644964608
"cpoe",3,0.0148064743769675
"cpoe",3.1,0.0153569842574745
"cpoe",3.2,0.0159074941379818
"cpoe",3.3,0.0164580040184891
"cpoe",3.40000000000001,0.0170085138989965
"cpoe",3.5,0.0175590237795039
"cpoe",3.6,0.0181095336600111
"cpoe",3.7,0.0186600435405183
"cpoe",3.8,0.0192105534210253
"cpoe",3.90000000000001,0.019761063301532
"cpoe",4,0.0203115731820385
"cpoe",4.1,0.0208620830625446
"cpoe",4.2,0.0214125929430505
"cpoe",4.3,0.0219631028235559
"cpoe",4.40000000000001,0.022513612704061
"cpoe",4.5,0.0230641225845656
"cpoe",4.6,0.02361463246507
"cpoe",4.7,0.0241651423455739
"cpoe",4.8,0.0247156522260774
"cpoe",4.90000000000001,0.0252661621065805
"cpoe",5,0.0258166719870833
"cpoe",5.1,0.0263671818675857
"cpoe",5.2,0.0269176917480878
"cpoe",5.3,0.0274682016285895
"cpoe",5.40000000000001,0.028018711509091
"cpoe",5.5,0.0285692213895921
"cpoe",5.6,0.0291197312700931
"cpoe",5.7,0.0296702411505938
"cpoe",5.8,0.0302207510310942
"cpoe",5.90000000000001,0.0307712609115945
"cpoe",6,0.0313217707920946
"cpoe",6.1,0.0318722806725946
"cpoe",6.2,0.0324227905530944
"cpoe",6.3,0.0329733004335941
"cpoe",6.40000000000001,0.0335238103140938
"cpoe",6.5,0.0340743201945933
"cpoe",6.6,0.0346248300750927
"cpoe",6.7,0.0351753399555921
"cpoe",6.8,0.0357258498360915
"cpoe",6.90000000000001,0.0362763597165908
"cpoe",7,0.03682686959709
"cpoe",7.1,0.0373773794775892
"cpoe",7.2,0.0379278893580885
"cpoe",7.3,0.0384783992385877
"cpoe",7.40000000000001,0.0390289091190869
"cpoe",7.5,0.0395794189995861
"cpoe",7.6,0.0401299288800852
"cpoe",7.7,0.0406804387605844
"cpoe",7.8,0.0412309486410836
"cpoe",7.90000000000001,0.0417814585215828
"cpoe",8,0.042331968402082
"cpoe",8.1,0.0428824782825812
"cpoe",8.2,0.0434329881630804
"cpoe",8.3,0.0439834980435796
"cpoe",8.40000000000001,0.0445340079240788
"cpoe",8.5,0.0450845178045779
"cpoe",8.6,0.0456350276850771
"cpoe",8.7,0.0461855375655763
"cpoe",8.8,0.0467360474460755
"cpoe",8.90000000000001,0.0472865573265747
"cpoe",9,0.0478370672070738
"cpoe",9.1,0.048387577087573
"cpoe",9.2,0.0489380869680722
"cpoe",9.3,0.0494885968485714
"cpoe",9.40000000000001,0.0500391067290706
"cpoe",9.5,0.0505896166095698
"cpoe",9.6,0.051140126490069
"cpoe",9.7,0.0516906363705682
"cpoe",9.8,0.0522411462510673
"cpoe",9.90000000000001,0.0527916561315665
"cpoe",10,0.0533421660120657
"cpoe",10.1,0.0538926758925649
"cpoe",10.2,0.0544431857730641
"cpoe",10.3,0.0549936956535633
"cpoe",10.4,0.0555442055340625
"cpoe",10.5,0.0560947154145616
"cpoe",10.6,0.0566452252950608
"cpoe",10.7,0.05719573517556
"cpoe",10.8,0.0577462450560592
"cpoe",10.9,0.0582967549365584
"cpoe",11,0.0588472648170576
"cpoe",11.1,0.0593977746975568
"cpoe",11.2,0.0599482845780559
"cpoe",11.3,0.0604987944585551
"cpoe",11.4,0.0610493043390543
"cpoe",11.5,0.0615998142195535
"cpoe",11.6,0.0621503241000527
"cpoe",11.7,0.0627008339805519
"cpoe",11.8,0.0632513438610511
"cpoe",11.9,0.0638018537415503
"cpoe",12,0.0643523636220494
"cpoe",12.1,0.0649028735025486
"cpoe",12.2,0.0654533833830478
"cpoe",12.3,0.066003893263547
"cpoe",12.4,0.0665544031440462
"cpoe",12.5,0.0671049130245453
"cpoe",12.6,0.0676554229050445
"cpoe",12.7,0.0682059327855437
"cpoe",12.8,0.0687564426660429
"cpoe",12.9,0.0693069525465421
"cpoe",13,0.0698574624270413
"cpoe",13.1,0.0704079723075405
"cpoe",13.2,0.0709584821880397
"cpoe",13.3,0.0715089920685388
"cpoe",13.4,0.072059501949038
"cpoe",13.5,0.0726100118295372
"cpoe",13.6,0.0731605217100364
"cpoe",13.7,0.0737110315905356
"cpoe",13.8,0.0742615414710348
"cpoe",13.9,0.074812051351534
"cpoe",14,0.0753625612320331
"cpoe",14.1,0.0759130711125323
"cpoe",14.2,0.0764635809930315
"cpoe",14.3,0.0770140908735307
"cpoe",14.4,0.0775646007540299
"cpoe",14.5,0.0781151106345291
"cpoe",14.6,0.0786656205150282
"cpoe",14.7,0.0792161303955274
"cpoe",14.8,0.0797666402760266
"cpoe",14.9,0.0803171501565258
"cpoe",15,0.080867660037025
"cpoe",15.1,0.0814181699175242
"cpoe",15.2,0.0819686797980234
"cpoe",15.3,0.0825191896785226
"cpoe",15.4,0.0830696995590218
"cpoe",15.5,0.0836202094395209
"cpoe",15.6,0.0841707193200201
"cpoe",15.7,0.0847212292005193
"cpoe",15.8,0.0852717390810185
"cpoe",15.9,0.0858222489615177
"cpoe",16,0.0863727588420168
"cpoe",16.1,0.086923268722516
"cpoe",16.2,0.0874737786030152
"cpoe",16.3,0.0880242884835144
"cpoe",16.4,0.0885747983640136
"cpoe",16.5,0.0891253082445128
"cpoe",16.6,0.089675818125012
"cpoe",16.7,0.0902263280055111
"cpoe",16.8,0.0907768378860103
"cpoe",16.9,0.0913273477665095
"cpoe",17,0.0918778576470087
"cpoe",17.1,0.0924283675275079
"cpoe",17.2,0.0929788774080071
"cpoe",17.3,0.0935293872885063
"cpoe",17.4,0.0940798971690055
"cpoe",17.5,0.0946304070495046
"cpoe",17.6,0.0951809169300038
"cpoe",17.7,0.095731426810503
"cpoe",17.8,0.0962819366910022
"cpoe",17.9,0.0968324465715014
"cpoe",18,0.0973829564520005
"cpoe",18.1,0.0979334663324997
"cpoe",18.2,0.0984839762129989
"cpoe",18.3,0.0990344860934981
"cpoe",18.4,0.0995849959739973
"cpoe",18.5,0.100135505854496
"cpoe",18.6,0.100686015734996
"cpoe",18.7,0.101236525615495
"cpoe",18.8,0.101787035495994
"cpoe",18.9,0.102337545376493
"cpoe",19,0.102888055256992
"cpoe",19.1,0.103438565137492
"cpoe",19.2,0.103989075017991
"cpoe",19.3,0.10453958489849
"cpoe",19.4,0.105090094778989
"cpoe",19.5,0.105640604659488
"cpoe",19.6,0.106191114539988
"cpoe",19.7,0.106741624420487
"cpoe",19.8,0.107292134300986
"cpoe",19.9,0.107842644181485
"cpoe",20,0.108393154061984
"cpoe",20.1,0.108943663942483
"cpoe",20.2,0.109494173822983
"cpoe",20.3,0.110044683703482
"cpoe",20.4,0.110595193583981
"cpoe",20.5,0.11114570346448
"cpoe",20.6,0.111696213344979
"cpoe",20.7,0.112246723225479
"cpoe",20.8,0.112797233105978
"cpoe",20.9,0.113347742986477
"cpoe",21,0.113898252866976
"cpoe",21.1,0.114448762747475
"cpoe",21.2,0.114999272627975
"cpoe",21.3,0.115549782508474
"cpoe",21.4,0.116100292388973
"cpoe",21.5,0.116650802269472
"cpoe",21.6,0.117201312149971
"cpoe",21.7,0.11775182203047
"cpoe",21.8,0.11830233191097
"cpoe",21.9,0.118852841791469
"cpoe",22,0.119403351671968
"cpoe",22.1,0.119953861552467
"cpoe",22.2,0.120504371432966
"cpoe",22.3,0.121054881313466
"cpoe",22.4,0.121605391193965
"cpoe",22.5,0.122155901074464
"cpoe",22.6,0.122706410954963
"cpoe",22.7,0.123256920835462
"cpoe",22.8,0.123807430715961
"cpoe",22.9,0.124357940596461
"cpoe",23,0.12490845047696
"cpoe",23.1,0.125458960357459
"cpoe",23.2,0.126009470237958
"cpoe",23.3,0.126559980118457
"cpoe",23.4,0.127110489998957
"cpoe",23.5,0.127660999879456
"cpoe",23.6,0.128211509759955
"cpoe",23.7,0.128762019640454
"cpoe",23.8,0.129312529520953
"cpoe",23.9,0.129863039401453
"cpoe",24,0.130413549281952
"cpoe",24.1,0.130964059162451
"cpoe",24.2,0.13151456904295
"cpoe",24.3,0.132065078923449
"cpoe",24.4,0.132615588803948
"cpoe",24.5,0.133166098684448
"cpoe",24.6,0.133716608564947
"cpoe",24.7,0.134267118445446
"cpoe",24.8,0.134817628325945
"cpoe",24.9,0.135368138206444
"cpoe",25,0.135918648086944
"cpoe",25.1,0.136469157967443
"cpoe",25.2,0.137019667847942
"cpoe",25.3,0.137570177728441
"cpoe",25.4,0.13812068760894
"cpoe",25.5,0.138671197489439
"cpoe",25.6,0.139221707369939
"cpoe",25.7,0.139772217250438
"cpoe",25.8,0.140322727130937
"cpoe",25.9,0.140873237011436
"cpoe",26,0.141423746891935
"cpoe",26.1,0.141974256772435
"cpoe",26.2,0.142524766652934
"cpoe",26.3,0.143075276533433
"cpoe",26.4,0.143625786413932
"cpoe",26.5,0.144176296294431
"cpoe",26.6,0.144726806174931
"cpoe",26.7,0.14527731605543
"cpoe",26.8,0.145827825935929
"cpoe",26.9,0.146378335816428
"cpoe",27,0.146928845696927
"cpoe",27.1,0.147479355577426
"cpoe",27.2,0.148029865457926
"cpoe",27.3,0.148580375338425
"cpoe",27.4,0.149130885218924
"cpoe",27.5,0.149681395099423
"cpoe",27.6,0.150231904979922
"cpoe",27.7,0.150782414860422
"cpoe",27.8,0.151332924740921
"cpoe",27.9,0.15188343462142
"cpoe",28,0.152433944501919
"cpoe",28.1,0.152984454382418
"cpoe",28.2,0.153534964262917
"cpoe",28.3,0.154085474143417
"cpoe",28.4,0.154635984023916
"cpoe",28.5,0.155186493904415
"cpoe",28.6,0.155737003784914
"cpoe",28.7,0.156287513665413
"cpoe",28.8,0.156838023545913
"cpoe",28.9,0.157388533426412
"cpoe",29,0.157939043306911
"cpoe",29.1,0.15848955318741
"cpoe",29.2,0.159040063067909
"cpoe",29.3,0.159590572948409
"cpoe",29.4,0.160141082828908
"cpoe",29.5,0.160691592709407
"cpoe",29.6,0.161242102589906
"cpoe",29.7,0.161792612470405
"cpoe",29.8,0.162343122350904
"cpoe",29.9,0.162893632231404
"cpoe",30,0.163444142111903
"cpoe",30.1,0.163994651992402
"cpoe",30.2,0.164545161872901
"cpoe",30.3,0.1650956717534
"cpoe",30.4,0.1656461816339
"cpoe",30.5,0.166196691514399
"cpoe",30.6,0.166747201394898
"cpoe",30.7,0.167297711275397
"cpoe",30.8,0.167848221155896
"cpoe",30.9,0.168398731036396
"cpoe",31,0.168949240916895
"cpoe",31.1,0.169499750797394
